military_occupation_id,job_code,preparation_needed,match_type,pay_grade
1980,39-4031.00,First term plus prep,some_duties,E6
1980,11-1021.00,Long term,some_duties,E7
1980,11-1011.00,Long term,some_duties,E8
1981,27-3031.00,,crosswalk,
1982,27-3031.00,,crosswalk,
1983,27-4012.00,,crosswalk,
1983,27-3011.00,,crosswalk,
1985,27-2042.02,,crosswalk,
1986,27-2042.02,,crosswalk,
1987,27-2042.02,,crosswalk,
1988,27-2042.02,,crosswalk,
1989,27-2042.02,,crosswalk,
1990,27-2042.02,,crosswalk,
1991,27-2042.02,,crosswalk,
1992,27-2042.02,,crosswalk,
1993,27-2042.02,,crosswalk,
1994,27-2042.02,,crosswalk,
1995,27-2042.02,,crosswalk,
1996,27-2042.02,,crosswalk,
2133,49-3031.00,,crosswalk,
2133,49-9041.00,,crosswalk,
1997,27-2042.02,,crosswalk,
1998,27-2042.02,,crosswalk,
1999,27-2042.02,,crosswalk,
2000,27-2041.04,,crosswalk,
2000,27-2042.02,,crosswalk,
2001,27-2042.02,,crosswalk,
2002,27-2042.02,,crosswalk,
2003,27-2042.02,,crosswalk,
2004,27-2041.04,,crosswalk,
2004,27-2042.02,,crosswalk,
2005,27-2042.01,,crosswalk,
2006,27-2042.01,,crosswalk,
2007,27-2042.02,,crosswalk,
2008,27-2042.02,,crosswalk,
2009,49-2091.00,,crosswalk,
2010,13-1111.00,,crosswalk,
2011,13-1111.00,,crosswalk,
2012,13-1111.00,,crosswalk,
2013,27-4021.00,,crosswalk,
2014,33-9091.00,First term,most_duties,E3
2014,43-4061.00,First term,most_duties,E4
2014,43-4111.00,First term,most_duties,E4
2014,33-3021.02,First term,most_duties,E4
2014,33-9093.00,First term,most_duties,E4
2014,33-9032.00,First term plus prep,most_duties,E3
2014,33-1011.00,Long term,most_duties,E6
2014,33-1012.00,Long term,most_duties,E6
2014,43-5032.00,First term,some_duties,E4
2014,33-3021.05,First term,some_duties,E4
2014,33-3041.00,First term,some_duties,E4
2014,43-5031.00,First term,some_duties,E4
2014,19-4099.03,First term,some_duties,E4
2014,33-9099.02,First term,some_duties,E4
2014,39-2011.00,First term,some_duties,E5
2014,43-9061.00,First term plus prep,some_duties,E3
2014,33-3021.02,First term plus prep,some_duties,E4
2014,33-3052.00,First term plus prep,some_duties,E4
2014,33-3011.00,First term plus prep,some_duties,E5
2014,33-3031.00,First term plus prep,some_duties,E5
2014,11-9199.08,First term plus prep,some_duties,E5
2014,33-3051.01,First term plus prep,some_duties,E5
2014,33-3051.03,First term plus prep,some_duties,E5
2014,33-3012.00,Long term,some_duties,E4
2014,33-3021.03,Long term,some_duties,E5
2014,33-3021.01,Long term,some_duties,E5
2014,33-9021.00,Long term,some_duties,E5
2014,13-1199.02,Long term,some_duties,E5
2014,11-9199.07,Long term,some_duties,E6
2014,11-3131.00,Long term,some_duties,E7
2014,13-1151.00,Long term,some_duties,E7
2014,11-9161.00,Long term,some_duties,E7
2014,21-1092.00,Long term,some_duties,E7
2015,13-1111.00,,crosswalk,
2016,13-1111.00,,crosswalk,
2017,27-4021.00,,crosswalk,
2018,13-1111.00,,crosswalk,
2019,13-1111.00,,crosswalk,
2020,27-2042.02,,crosswalk,
2021,27-2042.02,,crosswalk,
2022,27-2042.02,,crosswalk,
2023,13-1111.00,,crosswalk,
2024,27-4031.00,,crosswalk,
2024,27-4032.00,,crosswalk,
2028,27-2042.02,,crosswalk,
2029,27-2042.02,,crosswalk,
2030,27-2042.02,,crosswalk,
2031,27-2042.02,,crosswalk,
2032,43-9022.00,First term,most_duties,E3
2032,43-4161.00,First term,most_duties,E4
2032,43-9061.00,First term,most_duties,E4
2032,13-1071.00,First term plus prep,most_duties,E4
2032,43-6011.00,First term plus prep,most_duties,E5
2032,43-1011.00,First term plus prep,most_duties,E5
2032,43-3051.00,First term,some_duties,E4
2032,11-3011.00,First term plus prep,some_duties,E5
2032,11-3121.00,Long term,some_duties,E6
2033,27-2042.01,,crosswalk,
2034,27-2042.02,,crosswalk,
2035,27-2042.02,,crosswalk,
2036,13-1111.00,,crosswalk,
2037,33-9091.00,First term,most_duties,E3
2037,43-4061.00,First term,most_duties,E4
2037,43-4111.00,First term,most_duties,E4
2037,33-3021.02,First term,most_duties,E4
2037,33-9093.00,First term,most_duties,E4
2037,33-9032.00,First term plus prep,most_duties,E3
2037,33-1011.00,Long term,most_duties,E6
2037,33-1012.00,Long term,most_duties,E6
2037,43-5032.00,First term,some_duties,E4
2037,33-3021.05,First term,some_duties,E4
2037,33-3041.00,First term,some_duties,E4
2037,43-5031.00,First term,some_duties,E4
2037,19-4099.03,First term,some_duties,E4
2037,33-9099.02,First term,some_duties,E4
2037,39-2011.00,First term,some_duties,E5
2037,43-9061.00,First term plus prep,some_duties,E3
2037,33-3021.02,First term plus prep,some_duties,E4
2037,33-3052.00,First term plus prep,some_duties,E4
2037,33-3011.00,First term plus prep,some_duties,E5
2037,33-3031.00,First term plus prep,some_duties,E5
2037,11-9199.08,First term plus prep,some_duties,E5
2037,33-3051.01,First term plus prep,some_duties,E5
2037,33-3051.03,First term plus prep,some_duties,E5
2037,33-3012.00,Long term,some_duties,E4
2037,33-3021.03,Long term,some_duties,E5
2037,33-3021.01,Long term,some_duties,E5
2037,33-9021.00,Long term,some_duties,E5
2037,13-1199.02,Long term,some_duties,E5
2037,11-9199.07,Long term,some_duties,E6
2037,11-3131.00,Long term,some_duties,E7
2037,13-1151.00,Long term,some_duties,E7
2037,11-9161.00,Long term,some_duties,E7
2037,21-1092.00,Long term,some_duties,E7
2038,27-4031.00,,crosswalk,
2038,27-4032.00,,crosswalk,
2039,33-3021.03,,crosswalk,
2040,15-1142.00,,crosswalk,
2041,27-4021.00,,crosswalk,
2042,11-3021.00,,crosswalk,
2043,49-9041.00,,crosswalk,
2044,51-8013.00,,crosswalk,
2045,27-4031.00,,crosswalk,
2045,27-4032.00,,crosswalk,
2046,27-4031.00,,crosswalk,
2046,27-4032.00,,crosswalk,
2048,27-4021.00,,crosswalk,
2049,41-1011.00,,crosswalk,
2049,49-3042.00,,crosswalk,
2050,51-8021.00,,crosswalk,
2051,43-3031.00,,crosswalk,
2051,11-9199.02,,crosswalk,
2051,43-9011.00,,crosswalk,
2051,43-1011.00,,crosswalk,
2051,39-1021.00,,crosswalk,
2051,41-1011.00,,crosswalk,
2051,11-9051.00,,crosswalk,
2051,53-7062.00,,crosswalk,
2051,11-9081.00,,crosswalk,
2051,43-5081.02,,crosswalk,
2051,43-4151.00,,crosswalk,
2051,43-5081.04,,crosswalk,
2051,13-1023.00,,crosswalk,
2051,11-3061.00,,crosswalk,
2051,33-9099.02,,crosswalk,
2051,41-2031.00,,crosswalk,
2051,43-5071.00,,crosswalk,
2051,43-5081.01,,crosswalk,
2051,43-5081.03,,crosswalk,
2051,13-1022.00,,crosswalk,
2052,49-2093.00,,crosswalk,
2053,49-1011.00,,crosswalk,
2054,29-9011.00,,crosswalk,
2054,11-3071.01,,crosswalk,
2055,49-2011.00,,crosswalk,
2055,15-1142.00,,crosswalk,
2056,53-5031.00,,crosswalk,
2057,49-9071.00,,crosswalk,
2058,49-9071.00,,crosswalk,
2059,11-3071.02,,crosswalk,
2060,11-3071.02,,crosswalk,
2061,15-1122.00,,crosswalk,
2062,11-9111.00,,crosswalk,
2063,11-9111.00,,crosswalk,
2064,11-9111.00,,crosswalk,
2065,49-9061.00,,crosswalk,
2067,49-1011.00,,crosswalk,
2068,49-1011.00,,crosswalk,
2069,11-9021.00,,crosswalk,
2070,51-1011.00,,crosswalk,
2071,51-9011.00,,crosswalk,
2072,29-1041.00,,crosswalk,
2073,43-3031.00,,crosswalk,
2073,43-5051.00,,crosswalk,
2074,43-6011.00,First term,most_duties,E3
2074,43-4161.00,First term,most_duties,E3
2074,43-9061.00,First term,most_duties,E3
2074,43-9022.00,First term,most_duties,E4
2074,13-1071.00,First term plus prep,most_duties,E4
2074,43-1011.00,First term plus prep,most_duties,E5
2074,13-1075.00,First term plus prep,most_duties,E5
2074,11-3121.00,Long term,most_duties,E6
2074,43-3051.00,First term,some_duties,E3
2074,13-1151.00,First term plus prep,some_duties,E5
2074,13-1141.00,Long term,some_duties,E5
2074,11-3011.00,Long term,some_duties,E6
2075,17-2051.00,,crosswalk,
2076,17-2051.00,,crosswalk,
2077,49-9041.00,,crosswalk,
2078,49-9021.02,,crosswalk,
2079,49-9041.00,,crosswalk,
2080,11-3011.00,,crosswalk,
2080,11-9021.00,,crosswalk,
2081,49-9041.00,,crosswalk,
2082,49-9041.00,,crosswalk,
2083,49-9041.00,,crosswalk,
2086,29-1071.00,,crosswalk,
2087,29-1071.00,,crosswalk,
2088,29-1071.00,,crosswalk,
2089,29-1071.00,,crosswalk,
2090,29-1071.00,,crosswalk,
2091,49-1011.00,,crosswalk,
2092,11-3071.01,,crosswalk,
2093,29-1071.00,,crosswalk,
