military_occupation_id,job_code,preparation_needed,match_type,pay_grade
2399,29-2035.00,,crosswalk,
2400,29-2034.00,,crosswalk,
2401,29-2032.00,,crosswalk,
2402,29-2035.00,,crosswalk,
2403,29-2034.00,,crosswalk,
2404,29-2032.00,,crosswalk,
2405,29-2035.00,,crosswalk,
2406,29-2034.00,,crosswalk,
2472,17-2071.00,,crosswalk,
2472,17-2072.00,,crosswalk,
2407,29-2011.03,,crosswalk,
2408,29-2011.02,,crosswalk,
2409,29-2011.00,,crosswalk,
2410,29-2011.00,,crosswalk,
2411,29-2011.00,,crosswalk,
2412,13-1111.00,,crosswalk,
2413,47-2051.00,,crosswalk,
